PLAYER_NAME,POINT_PER_GAME,ASSIST_PER_GAME
lewis-brown,1.00,0.00
lorenzo-brown,2.80,1.80
marcus-brown,3.40,0.90
markel-brown,5.20,1.20
mike-brown,5.00,0.70
moses-brown,5.80,0.20
myron-brown,2.30,1.50
pj-brown,9.10,1.50
randy-brown,4.80,2.20
raymond-brown,1.00,0.30
rickey-brown,4.40,0.40
roger-brown,1.80,0.30
shannon-brown,7.60,1.10
stan-brown,3.10,0.30
sterling-brown,5.30,1.00
tierre-brown,3.90,2.00
tony-brown,6.00,1.60
greg-brown-iii,3.80,0.60
charlie-brown-jr,2.00,0.30
chaundee-brown-jr,6.20,0.80
troy-brown-jr,6.20,1.40
jim-browne,1.40,0.20
stanley-brundy,2.30,0.20
jalen-brunson,26.00,7.30
rick-brunson,3.20,2.60
nicolas-brussino,2.60,0.80
elijah-bryant,16.00,3.00
emmette-bryant,6.60,3.00
joe-bryant,8.70,1.70
kobe-bryant,25.00,4.70
mark-bryant,5.40,0.60
thomas-bryant,6.50,0.80
wallace-bryant,3.20,1.10
torgeir-bryn,1.30,0.00
shaq-buchanan,1.00,1.00
joe-buckhalter,5.80,0.70
steve-bucknall,1.30,0.60
cleveland-buckner,6.00,0.60
greg-buckner,5.00,1.30
quinn-buckner,8.20,4.30
dave-budd,7.10,1.00
chase-budinger,7.90,1.20
walter-budko,8.10,1.90
jud-buechler,3.30,0.80
kobe-bufkin,5.30,1.70
rodney-buford,6.40,0.80
matt-bullard,5.30,0.90
reggie-bullock-jr,7.30,1.20
greg-bunch,2.30,0.30
dick-bunt,3.50,0.70
bill-buntin,7.70,0.90
luther-burden,5.50,1.00
pat-burke,3.70,0.30
trey-burke,9.60,3.10
roger-burkman,0.80,0.80
alec-burks,7.30,1.10
antonio-burks,2.30,1.30
kevin-burleson,1.80,1.20
tom-burleson,9.40,1.30
jack-burmaster,9.80,2.90
david-burns,2.60,1.70
evers-burns,2.40,0.40
jim-burns,1.30,0.30
scott-burrell,6.90,1.40
art-burris,2.50,0.70
junior-burrough,3.10,0.20
bob-burrow,5.70,0.60
deonte-burton,2.50,0.40
ed-burton,2.20,0.20
willie-burton,10.30,1.20
steve-burtt,5.80,1.20
don-buse,6.90,4.50
brian-butch,,
donnie-butcher,6.10,2.10
al-butler,9.80,2.30
caron-butler,14.10,2.30
dasean-butler,,
greg-butler,1.40,0.10
jackie-butler,5.00,0.40
jared-butler,9.00,3.70
mitchell-butler,5.20,0.90
rasual-butler,7.50,0.80
jimmy-butler-iii,17.50,5.40
john-butler-jr,2.40,0.60
