PLAYER_NAME,TEAM_NAME,COUNTRY,POINT_PER_GAME,REBOUND_PER_GAME,ASSIST_PER_GAME
ed-bartels,Washington Capitols,USA,4.2,4.9,1.0
vic-bartolome,Golden State Warriors,USA,0.9,1.6,0.1
will-barton,Toronto Raptors,USA,11.2,4.1,2.7
eddie-basden,Chicago Bulls,USA,2.1,1.5,0.4
jerry-baskerville,Philadelphia 76ers,USA,1.2,1.3,0.1
brandon-bass,Boston Celtics,USA,8.7,4.5,0.8
paris-bass,Phoenix Suns,USA,3.0,2.0,0.0
tim-bassett,Brooklyn Nets,USA,5.9,6.4,1.2
charles-bassey,San Antonio Spurs,Nigeria,4.4,4.2,0.5
maceo-baston,Indiana Pacers,USA,2.7,1.7,0.2
mengke-bateer,Denver Nuggets,China,3.4,2.5,0.6
billyray-bates,Portland Trail Blazers,USA,11.7,1.7,1.9
emoni-bates,Cleveland Cavaliers,USA,3.7,0.7,0.8
keita-bates-diop,Minnesota Timberwolves,USA,6.0,3.0,0.9
esteban-batista,Atlanta Hawks,Uruguay,1.7,2.5,0.2
mike-batiste,Memphis Grizzlies,USA,6.4,3.4,0.7
tony-battie,Boston Celtics,USA,6.1,5.1,0.6
shane-battier,Memphis Grizzlies,USA,8.6,4.2,1.8
jamison-battle,Toronto Raptors,USA,7.1,2.7,0.9
john-battle,Atlanta Hawks,USA,8.7,1.3,2.1
kenny-battle,Phoenix Suns,USA,4.7,2.4,0.8
dave-batton,Washington Wizards,USA,3.2,2.1,0.6
nicolas-batum,LA Clippers,France,4.0,2.8,1.1
damion-baugh,Charlotte Hornets,USA,7.3,3.3,3.7
johnny-baum,Chicago Bulls,USA,4.5,2.0,0.5
frankie-baumholtz,Cleveland Rebels,USA,14.0,,1.2
lonny-baxter,Chicago Bulls,USA,3.9,2.9,0.2
jerryd-bayless,Milwaukee Bucks,USA,8.4,2.1,2.9
elgin-baylor,Los Angeles Lakers,USA,27.4,13.5,4.3
aron-baynes,Detroit Pistons,Australia,6.0,4.6,0.8
sergei-bazarevich,Atlanta Hawks,Russia,3.0,0.7,1.4
kent-bazemore,Sacramento Kings,USA,8.2,3.2,1.8
darius-bazley,Utah Jazz,USA,8.9,5.2,1.2
ed-beach,Atlanta Hawks,USA,1.8,2.1,0.3
bradley-beal,Phoenix Suns,USA,17.0,3.3,3.7
butch-beard,New York Knicks,USA,9.3,3.4,3.6
ralph-beard,Indianapolis Olympians,USA,15.9,3.8,4.4
jerome-beasley,Miami Heat,USA,1.0,0.5,0.0
malik-beasley,Detroit Pistons,USA,16.3,2.6,1.7
michael-beasley,Miami Heat,USA,12.4,4.7,1.3
zelmo-beaty,Atlanta Hawks,USA,16.0,10.4,1.5
rodrigue-beaubois,Dallas Mavericks,France,7.1,1.9,2.1
marjon-beauchamp,New York Knicks,USA,2.3,1.3,0.3
byron-beck,Denver Nuggets,USA,4.7,1.8,0.6
corey-beck,Charlotte Hornets,USA,2.7,1.4,1.4
ernie-beck,Golden State Warriors,USA,6.3,3.2,1.8
moe-becker,Detroit Falcons,USA,3.8,,0.7
william-bedford,Detroit Pistons,USA,4.1,2.4,0.5
reece-beekman,Brooklyn Nets,USA,2.6,1.1,1.8
hank-beenders,Providence Steamrollers,USA,8.4,,0.5
ron-behagen,Sacramento Kings,USA,10.3,7.0,1.6
elmer-behnke,Atlanta Hawks,USA,4.0,4.3,1.0
marco-belinelli,San Antonio Spurs,Italy,9.7,2.1,1.7
charlie-bell,Milwaukee Bucks,USA,8.5,2.2,2.3
dennis-bell,New York Knicks,USA,2.8,1.9,0.4
jordan-bell,Chicago Bulls,USA,3.7,3.1,1.2
raja-bell,Phoenix Suns,US Virgin Islands,9.9,2.8,1.7
troy-bell,Memphis Grizzlies,USA,1.8,0.7,0.7
william-bell,New York Knicks,USA,5.1,2.6,1.6
walt-bellamy,Atlanta Hawks,USA,20.1,13.7,2.4
deandre-bembry,Milwaukee Bucks,USA,5.9,3.2,1.8
irv-bemoras,Atlanta Hawks,USA,6.3,2.6,1.0
leon-benbow,Chicago Bulls,USA,5.5,1.9,1.6
dragan-bender,Phoenix Suns,Croatia,5.4,3.9,1.3
jonathan-bender,Indiana Pacers,USA,5.5,2.2,0.6
jerrelle-benimon,Utah Jazz,USA,0.0,1.5,0.0
benoit-benjamin,LA Clippers,USA,11.4,7.5,1.3
corey-benjamin,Chicago Bulls,USA,5.5,1.7,0.9
anthony-bennett,Minnesota Timberwolves,Canada,4.4,3.1,0.5
elmer-bennett,Philadelphia 76ers,USA,2.3,0.5,1.0
mario-bennett,Los Angeles Lakers,USA,4.0,2.7,0.4
mel-bennett,Indiana Pacers,USA,3.9,3.3,0.8
tony-bennett,Charlotte Hornets,USA,3.5,1.0,2.0
winston-bennett,Cleveland Cavaliers,USA,4.8,3.0,0.9
